,0.008726535364985466,0.026176949962973595,0.04361938685178757,0.061048541218042374,0.07845909893512726,0.09584575146436691,0.11320321261882782,0.13052619993686676,0.14780940115451813,0.16504760086536407,0.18223552405834198,0.1993679255247116,0.2164396196603775,0.23344536125659943,0.2503800094127655,0.2672383785247803,0.28401535749435425,0.30070579051971436,0.3173046410083771,0.3338068723678589,0.3502073884010315,0.36650121212005615,0.3826834559440613,0.39874908328056335,0.4146932363510132,0.43051108717918396,0.4461978077888489,0.4617486000061035,0.4771587550640106,0.49242356419563293,0.507538378238678,0.5224985480308533,0.537299633026123,0.5519369840621948,0.56640625,0.5807029604911804,0.5948227643966675,0.6087614297866821,0.6225146651268005,0.6360781788825989,0.649448037147522,0.6626200675964355,0.6755901575088501,0.6883545517921448,0.7009092569351196,0.713250458240509,0.7253743410110474,0.7372773289680481,0.7489557266235352,0.760405957698822,0.7716245651245117,0.782608151435852,0.7933533191680908,0.8038569092750549,0.8141155242919922,0.8241261839866638,0.8338858485221863,0.843391478061676,0.8526401519775391,0.8616291284561157,0.8703556656837463,0.878817081451416,0.8870108127593994,0.894934356212616,0.9025852680206299,0.9099612236022949,0.9170600771903992,0.9238795042037964,0.9304175972938538,0.9366722106933594,0.9426414370536804,0.948323667049408,0.9537169337272644,0.9588197469711304,0.9636304378509521,0.9681476354598999,0.972369909286499,0.9762960076332092,0.9799246788024902,0.9832549095153809,0.9862856268882751,0.9890158772468567,0.9914448261260986,0.9935718774795532,0.9953961968421936,0.9969173073768616,0.9981347918510437,0.9990482330322266,0.9996573328971863,0.9999619126319885
1992,26.57356463008457,26.68116102748447,26.763862268129984,26.82942263285319,26.78785410457187,26.788433215353223,26.808213647206625,26.816790493329368,26.834913942548965,26.800014347500273,26.822134102715385,26.812738566928438,26.76307242711385,26.667325607935588,26.489561388227674,26.40146084891425,26.246038426293268,26.049280299080742,25.865751928753323,25.51812071800232,25.282592884699504,24.985601732465955,24.567104281319512,24.075359405411614,23.66924459139506,23.210907485749985,22.703784301545884,21.853607222768996,20.66170485665401,19.769710107147695,18.88734518190225,18.211961095386908,17.428093351672093,16.47713355223338,15.665050910661618,14.865285887362228,14.66547863210241,14.20962457826568,13.567368793818686,13.00985171202984,12.399949050115215,11.472459313025077,10.549896771791909,9.818092692105306,9.076590489016638,,7.244764796339182,6.32012084089737,5.538569503877726,4.842213961167727,4.23638540175226,3.7378163842743057,3.3402438737380886,2.998343969312393,2.5743989941353598,2.110447661423435,1.5618818587830496,1.047023174751343,0.5326319685774958,-0.36988224116567936,-1.6960502174993357,-3.0681027273440526,-4.178828500883861,-5.192242853095134,-6.221975703847905,-6.9912754430125155,-7.851380150910053,-8.83148173554283,-9.53443550892795,-10.074316534177504,-10.263682272078263,-10.804942226430608,-11.49588379402024,-12.124874414772624,-12.703797097421354,-13.471347005272078,-14.203842208803527,-15.017705134674907,-15.84664248733057,-16.34978023746775,-16.905658672915564,-17.194160975350275,-17.52180370754666,-17.8888880888621,-18.606206925710044,-19.338191244337295,-19.87479675081041,-20.17346173922221,-20.364245303471883,-20.466751909255983
1993,26.522149350908066,26.62820792198181,26.71497410138448,26.800129397710165,26.779457902908327,26.798235789934793,26.846462898784214,26.87813259495629,26.91655615170797,26.902595064375134,26.939961438708835,26.943293227089775,26.89839096599155,26.8019044664171,26.623704523510405,26.536513063642715,26.384504503673977,26.191757975684272,26.010117313596936,25.668466165330674,25.441801913579305,25.153006082110934,24.73938945134481,24.253688814904955,23.86209557056427,23.422984629207185,22.928243215878805,22.085938538445365,20.89462047153049,19.98670426071104,19.080898068265782,18.372755132036076,17.55417027120582,16.560273404253852,15.704426135288344,14.843669458271728,14.5829742992659,14.062379370381434,13.357476657359964,12.740864233424267,12.080973543226719,11.115677393393383,10.156794100834263,9.42056744289067,8.693239644666512,,6.901024955345525,5.975627696845266,5.226423421848772,4.566282853691114,4.007873137616035,3.5497488469402825,3.194246762132065,2.902566778783997,2.5321859899209813,2.109951475080258,1.6130240560819706,1.1689489337137073,0.7466252696286473,-0.09746205682555835,-1.372071387546344,-2.679414660152462,-3.7109237185782855,-4.654093381643502,-5.591865167352888,-6.313281575559328,-7.111630440048046,-8.030707527738478,-8.688047292538815,-9.184080234625274,-9.323328918580794,-9.78145460312565,-10.45976033344244,-11.133930331996332,-11.831001346408286,-12.713743961894782,-13.541683189074199,-14.336169854344593,-15.16133398115635,-15.665184626562727,-16.232073777251774,-16.511706373426648,-16.82559413909912,-17.181016839875117,-17.880055385165743,-18.60984600914849,-19.1410996860928,-19.410053136613634,-19.576374790403577,-19.659704690509372
1994,26.537470054626464,26.64640999370151,26.73587914307912,26.820307985941568,26.79832782215542,26.8152792957094,26.857096597883437,26.88319063451555,26.92256669998169,26.907695500055947,26.944431877136232,26.930528089735244,26.87866170141432,26.78463971879747,26.608379734887016,26.51823600663079,26.359739441341823,26.17125873565674,26.000611755583023,25.665825740496317,25.442178371217516,25.15691367785136,24.754868867662218,24.27641751501295,23.897927045822144,23.480208712153964,23.01625501314799,22.213107392523025,21.067366851866247,20.224842208458316,19.394551087005272,18.75786768036584,17.99957974060542,17.05669661776887,16.25262382891443,15.440962257981301,15.229916140457822,14.759082283803986,14.08089390810993,13.485414099724343,12.822668637169732,11.830061571382814,10.842010859482818,10.075031465540329,9.308602001600795,,7.438786144451135,6.496875359366338,5.704655572054132,4.9770200938749545,4.352509917022932,3.8187199629636273,3.387201345867167,3.0226477925096535,2.5924316567265326,2.116400856886887,1.5712403278590905,1.0557024954533618,0.5532788233695707,-0.3206843084655702,-1.607725392964979,-2.9137447632642255,-3.9339775879970853,-4.86064773429599,-5.832258841066828,-6.549401477107312,-7.350968420236475,-8.306431623796621,-9.01339394454327,-9.59733757103483,-9.81317611318599,-10.311047179024253,-10.978273729731638,-11.592772723739554,-12.211913398287207,-13.020398950080077,-13.760278139015039,-14.475300381436115,-15.19136939526846,-15.627085875140295,-16.175840300983854,-16.424234713448417,-16.71452120145162,-17.04233078426785,-17.712102773454454,-18.398504114151002,-18.909976090325248,-19.190425803926257,-19.379694668451943,-19.486592393451268
1995,26.54297244283888,26.658454524146187,26.757881106270684,26.858181148105196,26.852601708306207,26.889964029524062,26.949474578433566,26.992114361127218,27.041466755337186,27.03841625849406,27.08831522199843,27.099627415339153,27.06124144130283,26.970579221513535,26.79452372656928,26.70660948223538,26.549999470180936,26.358358234829375,26.180607806311713,25.835381642977396,25.60269503593445,25.307620599534776,24.894679821862116,24.413627828492057,24.029216554429794,23.601065233018662,23.117974715762667,22.285452355278863,21.10007104559077,20.205687819441987,19.319960643102725,18.635715565747685,17.844349305455882,16.864416473441654,16.019609001444447,15.167821160414153,14.929358948643008,14.441382952200042,13.771211866123808,13.190690561632316,12.560963385469384,11.618725640078386,10.71314668862356,10.034023931788074,9.347196790244844,,7.631649876220359,6.771414910422431,6.011730894280804,5.325820332581255,4.732881089258525,4.247451202623132,3.8638547924657662,3.5414159634564486,3.1431869976972746,2.6985643228412504,2.194728296188017,1.726444154036128,1.2553966564663117,0.4608693957742718,-0.7271078166280253,-1.9424212934087135,-2.8966572930143837,-3.8115508570749728,-4.813165392352837,-5.550957215577364,-6.398002323870443,-7.350162178753979,-8.021304632350802,-8.533958624122251,-8.648074870083171,-9.104210726585652,-9.739961964161031,-10.341178414525672,-10.93314261603583,-11.719318451693592,-12.437973077367577,-13.159135717401902,-13.96110079580297,-14.46750709315141,-15.042859127786425,-15.326293153232998,-15.70526110066308,-16.090679746203953,-16.8187926530838,-17.61592066023085,-18.22296537293328,-18.576052300135295,-18.824113623301187,-18.97875688870748
1996,26.356920552253722,26.464852709240382,26.558793184492323,26.660560830434164,26.66266475253635,26.716124818060134,26.793803238868712,26.85209941599104,26.919213326772056,26.93533829053243,27.002537875705293,27.03011508517795,27.007281875610353,26.929122257232667,26.763848325941296,26.686188819673326,26.542919794718426,26.357349326875475,26.182971800698173,25.841632421811422,25.61000878016154,25.312113364537556,24.884969472885132,24.388125785191853,23.984670130411782,23.53558468553755,23.03364700741238,22.191010456615025,21.001433346586094,20.108631646757324,19.225295856139727,18.53795891193052,17.741429201016825,16.752601623535156,15.899994323485428,15.038842813950032,14.784652144011732,14.285953470774823,13.600513493518035,12.993884305780133,12.325603628655275,11.347347217839625,10.397527360129688,9.662184011884447,,,7.088240671040128,6.134200863012423,5.330200632113136,4.602153951452217,3.973098589769668,3.447863988774932,3.032454775330714,2.712799174736978,2.335260059358552,1.914136896137562,1.420798354363069,0.9838502348297172,0.5705537636453907,-0.24456339492300888,-1.474109556339681,-2.6548711855611247,-3.6065947183097404,-4.473179841579663,-5.375866538154272,-6.036062610226994,-6.815033300012712,-7.728296012172683,-8.403268976799316,-8.931424008723763,-9.101064664270314,-9.644548895975781,-10.381697913755973,-11.078185638443877,-11.775936192144743,-12.65634957284977,-13.281878723804322,-13.89936681162152,-14.6633476035359,-15.130845487448905,-15.623307801617516,-15.8694044219123,-16.200608351495532,-16.529649760988022,-17.16688044336107,-17.82323547999064,-18.310829141404895,-18.57032650311788,-18.741633685429893,-18.83161209424337
1997,26.949937693277995,27.048280742433334,27.121402719285754,27.18082479900784,27.13403162426419,27.13257881535424,27.153269023365446,27.163872260517543,27.190064605077108,27.16354792912801,27.189417600631714,27.172526682747733,27.116609552171496,27.01677787568834,26.83360007074144,26.736520693037246,26.566507869296604,26.36303081512451,26.18049604098002,25.827210328314038,25.588267024358114,25.289737272262574,24.865531810124715,24.366364351908366,23.971601544486152,23.528547173076205,23.035372874471875,22.19519096745385,21.008313276039228,20.116351986159053,19.235156337533972,18.5532305503678,17.76196583983385,16.79286778966586,15.959676177468564,15.131080057554774,14.899543808680027,14.397414890428385,13.727001588708825,13.143806026710404,12.508030280636417,11.573116375009219,10.666524851570527,9.982249812119537,,,7.545614373006133,6.669190831606587,5.934157570720547,5.281601359921559,4.729549355643233,4.26632910180423,3.900864428643965,3.5896688062827,3.202479745168239,2.7689085395825614,2.248301713810199,1.7562491913377825,1.2773173609748483,0.4484924259556768,-0.8066593679340763,-2.099100654233997,-3.1557703485712407,-4.141646933534907,-5.169430646469765,-5.93732512960107,-6.7922185126045305,-7.797935496229265,-8.537784037180245,-9.129314026845774,-9.350091894033055,-9.878819564046958,-10.568696392296504,-11.254892315084321,-11.990031574793264,-12.87329727957646,-13.5593427422146,-14.236777217913833,-14.975858634223954,-15.451662818921937,-15.999651356538136,-16.26999911467234,-16.615559707747565,-16.9802728149626,-17.68683901892768,-18.425350348154705,-18.99256396823459,-19.298598930570815,-19.491196839014687,-19.58419940736559
1998,26.932170957989165,27.008199654685125,27.067777233653597,27.14239419301351,27.11862369113498,27.14937083191342,27.20679653485616,27.24358001285129,27.275685660044353,27.246926466623943,27.267230129241945,27.24841113090515,27.191551431020102,27.091640191608004,26.917492553922866,26.83657480345832,26.69910740852356,26.52400413089328,26.3571696334415,26.02481791443295,25.807890950308906,25.523291937510173,25.115957514444986,24.63964086373647,24.255057862069872,23.83252750237783,23.36066607369317,22.542778163486055,21.376336173506246,20.507295448333025,19.66604075755717,19.001913346598545,18.231317056001476,17.276200038567186,16.449583918849626,15.619765490955777,15.394635229806106,14.922285134076244,14.25626617703173,13.668374656389156,13.020002872414059,12.063419168525272,11.115096800743292,10.381678115328153,9.672705071502262,8.84170036493904,7.876514619255128,6.961458367264519,6.209224353268251,5.526909659078552,4.925302079379455,4.412255136409981,3.9940610092081545,3.638677960096134,3.2080086569974404,2.7087428542888827,2.122383522989953,1.5735319149855058,1.0207591574509731,0.10834652174574634,-1.2372715278776014,-2.575964821709527,-3.6010502439199223,-4.576202147288374,-5.589488994913538,-6.339691107432979,-7.157450156420883,-8.117827233258222,-8.792181203017632,-9.287707651510006,-9.394223692433702,-9.752827278731598,-10.318380607147184,-10.90277185940908,-11.527406354538268,-12.348144325293188,-13.008703035892298,-13.655980203921596,-14.323109297061132,-14.669510863555802,-15.03868693643146,-15.215609248479208,-15.484600244628059,-15.750665039486355,-16.354131807221307,-16.997619242138335,-17.457483439975313,-17.662066396077474,-17.79663370980157,-17.850450425677828
1999,26.23105574183994,26.335622443093193,26.42810643778907,26.534735223982068,26.538341093063355,26.584465771251253,26.65870730082194,26.71405005984836,26.777269654803806,26.788017882241142,26.84851202964783,26.86769873831007,26.83238720364041,26.740988047917686,26.56927711168925,26.492915921741062,26.36008668475681,26.191251023610434,26.0350189420912,25.719090355767143,25.51555331548055,25.25756770769755,24.891425461239287,24.460921205414667,24.129738057984245,23.75995220873091,23.34009417163001,22.569854243596396,21.444679967562358,20.61202880324175,19.784661528095604,19.15577354306976,18.412903216812346,17.46558330344657,16.646934263020132,15.808801906307538,15.573495995004972,15.070245878853731,14.366610560400618,13.744181017122335,13.053411672926611,12.05572978473372,11.07702090959582,10.331625427471266,,,7.769810820888314,6.851891374215484,6.080964690308772,5.3759109734596375,4.764709098106768,4.257045765948068,3.839837864672558,3.4798778186759187,3.0628241123010715,2.5878780791639455,2.02736287288911,1.4860894059270828,0.9459878543938329,0.07068225852886421,-1.2819370702568753,-2.657697779747347,-3.7353114194443657,-4.741566331177536,-5.810715713552458,-6.604018380285965,-7.463048955632581,-8.448828698860275,-9.158776002791193,-9.713937065791752,-9.877984966316985,-10.295511929980583,-10.89355715908524,-11.4958248312792,-12.066265670303256,-12.77227691845894,-13.366494032947553,-14.070108863628572,-14.831503846910264,-15.248848931180934,-15.663268795940612,-15.974232384893629,-16.317518764071995,-16.617874471346536,-17.233675132857428,-17.873822175131902,-18.33836426205105,-18.583214542600842,-18.762502405378555,-18.85994031164381
2000,26.352494846449957,26.45798708597819,26.550226230091518,26.6512774626414,26.64974764188131,26.68956481880612,26.758718803193833,26.806154166327584,26.859940168592665,26.85724909570482,26.904800166024103,26.90717782974243,26.859701988432143,26.764054356680976,26.584125985039606,26.498918475045098,26.35030402607388,26.170450358920625,26.008887381023833,25.690919629732768,25.486986255645753,25.22547592057122,24.84089340103997,24.384277674886917,24.022502281930713,23.62459246052636,23.173801737361483,22.379223020871482,21.23366122328573,20.380692445103907,19.54458929254777,18.917393895404206,18.171445706321133,17.230175065994263,16.415983426032795,15.588537459572157,15.360634479273317,14.858331093150708,14.169810142533647,13.562206938573055,12.89417099977533,11.919109462367164,10.953631995887392,10.19531396643983,,,7.6036437700467,6.6868862199390104,5.896228884553744,5.185773038244547,4.5672309703736875,4.055002096929821,3.645819519749946,3.2950829782833657,2.861948283099466,2.395683864683896,1.8458841402807997,1.3493821041736132,0.9038105122331116,0.09411525463478433,-1.110708683053963,-2.3217475386181223,-3.2480285345473225,-4.142616723984894,-5.117960157431662,-5.841140885358779,-6.65825903256579,-7.663061648272883,-8.408514381055202,-9.005436798736143,-9.194041653732873,-9.691113495433497,-10.314266003782137,-10.880233847929372,,,-12.626438035636157,-13.317471932205889,-14.18187935422692,-14.657542632928946,-15.21130136847496,-15.528722960419126,-15.908984520700242,-16.25142369270325,-16.9175032960044,-17.5914611948861,-18.0812232070499,-18.33132529788547,-18.50110976431105,-18.59137666490343
2001,26.564734098646376,26.679429621166655,26.777480053901673,26.872436454561022,26.861315965652466,26.891717955801223,26.950233703189426,26.989189884397717,27.034404283099704,27.022857570648192,27.06209160486857,27.05267007086012,27.00652001168993,26.92011545499166,26.756893147362604,26.68786449962192,26.558197588390776,26.390928432676528,26.23913582695855,25.924693841404384,25.72016215324402,25.455957084231905,25.068115605248344,24.61010797023773,24.246137595176698,23.847596324814692,23.392848936716714,22.596358937687345,21.445431284937595,20.582623499686857,19.736362391420535,19.08890821210678,18.330161065194343,17.374293643898433,16.551904181473784,15.711643478439914,15.481872888902823,14.98668638707863,14.292374290360344,13.680330875267584,12.980860579013825,11.96440490550465,10.965000486402358,10.18845999141534,,,7.57470589093864,6.634243447944108,5.893596092823686,5.239803094799087,4.6751336695497026,4.1989031246190684,3.8077186972265027,3.470503802830353,3.072647877617015,2.616619910682655,2.083325122208852,1.6096382974802206,1.1566437737291886,0.33670777093393556,-0.9044072783862551,-2.182882555567711,-3.195214309553719,-4.15159641014826,-5.138156629455302,-5.861068864170183,-6.669391979106392,-7.633936443345414,-8.347138122158746,-8.922305551295478,-9.109574518994325,-9.598455739207566,-10.229438750383755,-10.82007885587712,-11.384653849775592,-12.0904246336677,-12.731369271729555,-13.422477989147106,-14.247255928566059,-14.695287333656516,-15.205378236373265,-15.438250507248773,-15.760903980996874,-16.111970686912535,-16.7688546233707,-17.430300839742024,-17.911254183451334,-18.150462346606783,-18.324646059672038,-18.415076616075304
2002,26.903275850084093,27.010702594121298,27.096044813262093,27.169199090533787,27.135685465070935,27.138534551196628,27.166736669010586,27.182408277193705,27.213806210623847,27.186851867039998,27.21227199766371,27.193096261554295,27.133391756481593,27.026757362153795,26.84088872273763,26.74642842610677,26.596379698647393,26.404692602157592,26.22667449315389,25.88893005318112,25.66420707702637,25.386701509687637,24.994103066126506,24.53152385022905,24.159228568606906,23.75391842259301,23.296484412087334,22.486710601382786,21.320851499918433,20.44113682202167,19.58070707813733,18.928383262072586,18.166452654119993,17.212060510946646,16.39648939685689,15.57071405682299,15.342510721004672,14.842171357240941,14.15912357924713,13.559924493792156,12.902307946152158,11.939671813117133,10.984203971922398,10.248164378272163,9.513757859336005,8.676498530142837,7.705011594419678,6.78145517549581,6.004542855670055,5.316316814772371,4.732475815239983,4.249097210322442,3.857113294143023,3.5059784021988487,3.0640418409369885,2.5945205289935176,2.066882216071503,1.5773971784032053,1.0979904009805372,0.2771842765518361,-0.9562437126206027,-2.182434208618684,-3.1486911187944417,-4.053314564108021,-5.007111112918291,-5.698801022473102,-6.5304983031211625,-7.495440837451153,-8.182923254800132,-8.736173273995519,-8.919355638930574,-9.366963462241822,-9.940628343768832,-10.484207548573613,-11.041446560497086,-11.777823757728846,-12.478358731977641,-13.244977350864145,-14.063735813937253,-14.53927218168974,-15.049806496169833,-15.34474812083774,-15.685355345408121,-16.038940297232735,-16.7348388671875,-17.450261492199367,-17.984630346298218,-18.2726705816057,-18.46574812465244,-18.56849037806193
2003,26.857201131184897,26.964668231540255,27.05394932958815,27.141088411543105,27.12634106742011,27.153885165850323,27.205334883266026,27.24091817802853,27.27842378616333,27.25740203857422,27.286975155936346,27.269505246480307,27.214507007598876,27.11582203441196,26.934928189383612,26.847673220104642,26.702448881997004,26.517235819498698,26.34690343009101,26.01642017894321,25.797177680333455,25.520647064844766,25.11735922495524,24.644107333819072,24.255932013193767,23.838932016160754,23.37188731564416,22.556460732883878,21.384618919342756,20.50344353736275,19.633652965848643,18.96497510166632,18.18325943323887,17.214078434846467,16.37642017569807,15.52326797776752,15.271631685023506,14.75782678582602,14.04796776136694,13.415212356630299,12.719418586405098,11.726128813127676,10.751756144563357,9.990081557300355,9.233624332812097,8.362522070192629,7.39270385839045,6.464893082632787,5.720868581970636,5.063944628513935,4.512200703966017,4.0779720039210385,3.7467664301188455,3.493268477363098,3.1621235129449308,2.7995868706351352,2.372151394610086,1.994933978525094,1.6374607497877958,0.8786245393101126,-0.27797270567518556,-1.4760984751861543,-2.451551547889701,-3.3868749167873626,-4.37508012180527,-5.102066990381314,-5.924598053930741,-6.895182885589182,-7.624033714303126,-8.224079833624678,-8.434228008488814,-8.962906596907931,-9.670225272824366,-10.367061215124947,-11.12008176272114,-12.118489889717765,-12.891946673780007,-13.652391274935669,-14.529348749082743,-15.12387493385209,-15.736652423275842,-16.08097456826104,-16.45268597602844,-16.844496825006274,-17.56985488467746,-18.326769150627985,-18.902354521221586,-19.229216819339328,-19.429416063096788,-19.53472284211053
2004,26.806285508473714,26.9184943040212,27.011778722869025,27.101233996285334,27.089478264914618,27.11885375711653,27.16822938124339,27.198771150906882,27.22914571762085,27.202818165885077,27.232502683003744,27.223580344518027,27.172134531868828,27.078211238649157,26.903350835376315,26.819572771920097,26.667050398720637,26.47597737312317,26.300301673677232,25.965018492274815,25.74341343243917,25.4678935262892,25.077594211366442,24.61221036381192,24.23198569615682,23.826150414678786,23.369071414735583,22.5675999906328,21.410727474093438,20.53913104981184,19.684514995664358,19.02511433586478,18.25955982307593,17.309243740472528,16.49527396382764,15.673225596712696,15.443364493052165,14.947260370353858,14.255127149095966,13.647200676162416,12.980533449682925,12.006792864700158,11.057100519662102,10.325051300062073,,,7.74118583260311,6.832689145869679,6.054059216048983,5.358872029553944,4.758950270996946,4.263140932139423,3.8715133854601946,3.5439232472744253,3.118663897106631,2.6621057827698276,2.1087667827701404,1.6164180633101044,1.1172334353025588,0.23775257383369738,-1.0393006887157552,-2.323841418056852,-3.3958481241509113,-4.40488198461632,-5.442353910952806,-6.19026264601594,-7.072484259612652,-8.083616421185434,-8.798447395368324,-9.398674935547428,-9.581401994307008,-10.05509313378069,-10.65870290580723,-11.243339474968767,-11.852216832774381,-12.704198862632943,-13.362264542799029,-14.077854582874311,-14.922592974661125,-15.474992945128017,-15.992944479650921,-16.289612203174165,-16.713574804200068,-17.075422872437372,-17.746325789557563,-18.43250542216831,-18.93287198278639,-19.194940773646035,-19.39012689590454,-19.502863709131876
2005,26.772064797083537,26.886583863364326,26.985003553496465,27.084595097435844,27.08438556459215,27.131390391455756,27.203427990277607,27.25447154045105,27.310627306832206,27.309186506271363,27.358166291978623,27.365761115815904,27.31801218456692,27.216141329871284,27.026203287972344,26.926326915952895,26.760935571458603,26.55931304825677,26.369671667946708,26.020935016208224,25.783143843544853,25.487636878755357,25.079334624608357,24.59696299235026,24.201873032251992,23.77160249816047,23.29167685508728,22.47309612168206,21.30136179222415,20.421128519914216,19.564494409660497,18.89848463402854,18.122525799729758,17.16337998368674,16.336025584820245,15.507684298025238,15.292799492884013,14.825072458634773,14.159021806261606,13.576663288763827,12.918317936112484,11.94769286049737,10.999729961032669,10.279722629818652,,,7.804457433956364,6.922760528636475,6.160103202706927,5.487061231434604,4.918210488024892,4.468850340590709,4.119837278872728,3.837567593335795,3.497242839168757,3.091764716959248,2.5910253209786283,2.168966116670183,1.7580600099741586,0.9626424963663642,-0.24380034507000042,-1.4801169603480957,-2.442073384967322,-3.3645056998564136,-4.331755738648482,-5.034979822341767,-5.84262808662089,-6.802843205713564,-7.505116101905393,-8.060703014044298,-8.193029844553934,-8.621536394767464,-9.241346939420328,-9.832507391046319,-10.377251021232869,-11.086646305562722,-11.643653269125045,-12.296326375173198,-13.119452243215507,-13.566042633189095,-14.066973219977484,-14.329115516609615,-14.634375227822197,-14.938344632254706,-15.571586977110968,-16.239855557017854,-16.73872636159261,-16.994223350948758,-17.153680319256253,-17.225379286872016
2006,26.80312974188063,26.901655689875284,26.9806016948488,27.0609749423133,27.042067183388603,27.067873745494417,27.122761956850688,27.160658091968962,27.206515381071302,27.199298726187813,27.243212053510877,27.243408664067587,27.197003862592908,27.106948375701904,26.92932562828064,26.840933079189725,26.682911517884996,26.482500086890326,26.295907953050403,25.957689944903056,25.733132113350763,25.45983728832669,25.07063610288832,24.60533054139879,24.231607423888313,23.828808800379434,23.379622846179537,22.58495310412513,21.433923686419924,20.565423681059233,19.700427791020935,19.033054937091137,18.259744834982687,17.302768661053335,16.474198736188313,15.641542120774586,15.412939055812442,14.932784145850585,14.266863359069166,13.691210333092345,13.053208426303334,12.107620202336047,11.175383028677768,10.462811152471437,,,7.980256787315011,7.062064385884959,6.299805857199762,5.605099823186174,4.995266485690243,4.481149805171622,4.058756841271598,3.702022137238075,3.288360267298089,2.8300662946783834,2.274594002873507,1.755278499934098,1.236905499226931,0.3725554163819955,-0.8821410040086549,-2.144456011315601,-3.113019801759058,-4.020580097039541,-4.972929940020872,-5.646605753050082,-6.412390808608486,-7.2970210382029315,-7.898214546849744,-8.345853410350779,-8.415798373892903,-8.79050527960062,-9.330984133440587,-9.858475691142182,-10.340236465394911,-10.946369722775287,-11.339620572606671,-11.835364977684286,-12.65403398151199,-13.179123449097904,-13.67115949259864,-13.895415937900543,-14.247380632824369,-14.525132250785827,-15.097117058436076,-15.696343970298766,-16.128426202138265,-16.323234505123562,-16.44396512243483,-16.48589775827196
2007,26.572247250874838,26.678954701953465,26.76952002313402,26.871338399251304,26.87303827603658,26.91850375334422,26.987651846143933,27.03964064915975,27.09049498769972,27.082665093739827,27.12506077024672,27.12220796479119,27.07747540473938,26.988479873869153,26.814526563220554,26.733040783140396,26.594266854392156,26.416583972507052,26.252715073691473,25.926852411693996,25.713324064678616,25.444734785291885,25.05331654548645,24.590145847532483,24.214814644389683,23.801953185929193,23.343438620037503,22.54575773610009,21.393119480978285,20.529926070633035,19.674219042973387,19.01424553775125,18.240497808489536,17.280407141231827,16.45080199432042,15.612899472316107,15.380478791230255,14.892536819296785,14.212116594778166,13.619349753608306,12.973069366150431,12.024736297337546,11.091523611214425,10.404086242947313,,,7.987979316876994,7.103819424824582,6.33377776495181,5.6393778218111645,5.011030907945759,4.496457356255916,4.086014357943916,3.7473086602158014,3.3402338368999254,2.9067579234691543,2.420114738814947,1.9837136258982355,1.5805549387095703,0.8025755520496104,-0.3950630159647618,-1.600352900561605,-2.566161690807591,-3.4382271389166514,-4.358439938051419,-5.002200906195989,-5.7653004874061375,-6.67942015997962,-7.325816442129305,-7.843785560663997,-7.940793461295673,-8.355033727404145,-8.957362803154522,-9.522563747999568,-10.032316902755863,-10.694114449754771,-11.124576189327572,-11.703663027141657,-12.661434078823852,-13.230123168726761,-13.711304387450218,-13.988972361882528,-14.415872973865932,-14.772267601225112,-15.465509321954515,-16.18648320833842,-16.70832555294037,-16.975467114978365,-17.14690833091736,-17.231199343999226
2008,26.486763355467055,26.601244963539973,26.69850308365292,26.797007115681968,26.79117005136278,26.824748924043444,26.880303303400677,26.916792641745673,26.956747505399917,26.9409177409278,26.97151273621453,26.961124171151056,26.90864322450426,26.81355110274421,26.639781024720932,26.56321974860297,26.430977196163603,26.26551118956672,26.11299328274197,25.795023814837137,25.592066695955065,25.322725449668038,24.931103671921623,24.471682715415955,24.10538556045956,23.705835077497696,23.258931268586053,22.478154656622145,21.344918221069708,20.500544537045062,19.658191443524426,18.997914870797345,18.230696226366693,17.271735619008542,16.447479046632846,15.604040236771107,15.36275450773537,14.872228186598255,14.170874312354458,13.544232264140414,12.881957700517443,11.94173974643151,11.000497761865457,10.279877510087358,,,7.753438739892509,6.841605517050872,6.079139689852794,5.400590185883145,4.814565547100372,4.339755736581154,3.9719104498521323,3.6726772002927546,3.310707472740776,2.9105829702276322,2.408197879770564,1.9276324313719266,1.4665822753010112,0.6163812300966431,-0.680110977741424,-1.9812443339472843,-3.014488739675532,-3.964358789142635,-4.935253029254576,-5.640891876541233,-6.424694054770387,-7.326313266460784,-7.951800553319562,-8.400962122426265,-8.434935115733081,-8.848250625282526,-9.463985612698727,-10.051272762835854,-10.591402419490947,-11.293080831360486,-11.825814502706958,-12.602854976337403,-13.600407102165951,-14.12761157968392,-14.614380130502912,-14.911708025137584,-15.241279045740763,-15.56459097067515,-16.20758991241455,-16.883858246273466,-17.385317500432333,-17.64415236049228,-17.824372254477606,-17.909941646787857
